title,網址,標籤,keywords
主治健忘、失眠的奇穴！心悸胸悶也可按按神門穴,https://www.everydayhealth.com.tw//article/11481,"['穴道導引', '失眠', '心臟', '按摩', '穴道按摩', '老人癡呆']","['老人癡呆', '治療', '心臟', '穴道導引', '穴道按摩', '健忘', '失眠', '神門', '按摩']"
柳橙汁活腦暢血流！早餐就喝綠果汁排毒清血管,https://www.everydayhealth.com.tw//article/18219,"['保健新聞', '果汁', '蔬果汁', '柳橙', '醫學研究', '大腦']","['醫學研究', '果汁', '人則', '柳橙', '大腦', '蔬果汁', '飲用', '習慣', '保健新聞', '柳橙汁']"
糖尿病有救！醫學博士：這時間運動降血糖效果最好！,https://www.everydayhealth.com.tw//article/18228,"['養生保健', '糖尿病', '降血糖', '血糖', '伸展運動', '規律運動']","['運動', '飯後', '規律運動', '糖尿病', '伸展運動', '降血糖', '時間', '血糖', '養生保健', '此時', '規律']"
20年鼻炎不藥而癒！吳若權：以身心平衡來療癒自己,https://www.everydayhealth.com.tw//article/18294,"['情緒調適', '運動', '規律運動', '其他身心健康', '跑步', '心靈']","['運動', '開始', '情緒調適', '心靈', '規律運動', '一種', '愛上', '其他身心健康', '跑步']"
這植物讓呼吸道強效除病毒！名醫推薦在家這樣做,https://www.everydayhealth.com.tw//article/18030,"['養生保健', '抗菌', '感冒', '免疫力', '病毒', '薄荷']","['病毒', '免疫力', '絨毛', '養生保健', '感冒', '這些', '抗菌', '薄荷']"
抗癌又護眼！菠菜高麗菜汁補充逾10種必備營養,https://www.everydayhealth.com.tw//article/18184,"['養生保健', '視力', '改善視力', '保護眼睛', '眼睛', '眼睛保健']","['葉黃素', '改善視力', '氧氣', '黃素', '養生保健', '眼睛保健', '高麗菜', '保護眼睛', '視力', '維生素', '眼睛']"
驚蟄氣濕，流感好發！按按耳後排濕氣促淋巴排毒,https://www.everydayhealth.com.tw//article/10291,"['節氣養生', '豆腐', '感冒', '穴道按摩', '濕氣', '豆漿', '排毒', '驚蟄']","['豆漿', '排毒', '節氣養生', '節氣', '15', '公克', '濕氣', '豆腐', '感冒', '韭菜', '穴道按摩', '驚蟄']"
70歲看起來如30歲貴婦！她日常靠3種美食抗老,https://www.everydayhealth.com.tw//article/18099,"['對抗老化', '美容', '長壽飲食', '蜂蜜', '核桃', '杏仁']","['核桃仁', '慈禧太后', '核桃', '養生', '松子', '對抗老化', '蜂蜜', '美容', '長壽飲食', '杏仁']"
增強肝臟的解毒功能！消水腫緩腸胃痛排毒餐這樣吃,https://www.everydayhealth.com.tw//article/11379,"['健康飲食', '促進血液循環', '春天', '腸胃', '苦', '過敏', '飲食', '肝臟']","['蛤蜊', '肝功能', '排毒', '飲食', '肝臟', '小匙', '促進血液循環', '腸胃', '苦', '食材', '過敏', '春天', '健康飲食']"
不只腸癌！這5大惡癌男性好發！亞洲男罹病率上升中！,https://www.everydayhealth.com.tw//article/18355,"['西醫醫學', '十大癌症', '癌症', '皮膚癌', '肝癌', '肺癌']","['十大癌症', '皮膚癌', '癌症', '肺癌', '根據', '男性', '肝癌', '西醫醫學', '攝護腺']"
逆轉肝炎惡化病程！咖啡制止近50％肝癌發病率,https://www.everydayhealth.com.tw//article/18198,"['養生保健', '肝癌', '肝病', '護肝', '咖啡', '咖啡豆']","['肝癌', '肝病', '肝臟', '咖啡', '肝炎', '咖啡豆', '養生保健', '當中', '護肝']"
大學就身受皮蛇苦，女醫：打疫苗前你可以這樣預防,https://www.everydayhealth.com.tw//article/18400,"['西醫醫學', '帶狀皰疹', '帶狀疱疹', '皮蛇', '病毒', '神經痛']","['運動', '健康', '病毒', '皮蛇', '神經痛', '醫院', '帶狀疱疹', '帶狀皰疹', '西醫醫學', '壓力']"
資深歌手美黛膽管癌辭世！醫：9成患者上腹悶痛、沒胃口,https://www.everydayhealth.com.tw//article/18401,"['保健新聞', '膽囊', '膽結石', '肝膽、胰臟疾病', '食慾不振', '腹部疼痛']","['膽道', '膽管', '膽管癌', '治療', '食慾不振', '膽結石', '報導', '肝膽、胰臟疾病', '膽囊', '保健新聞', '腹部疼痛']"
尿尿5異狀竟是腎病前兆！中醫：滋陰養腎忌吃3食物,https://www.everydayhealth.com.tw//article/17943,"['中醫養生', '養腎', '腎臟', '腎經', '黑米', '血糖', '降血糖']","['養護', '人體', '黑米', '表現', '降血糖', '腎臟', '養腎', '血糖', '腎經', '中醫養生']"
香蕉皮煮水飲用、泡腳能治高血壓？國健署：沒有證據,https://www.everydayhealth.com.tw//article/18376,"['保健新聞', '高血壓', '香蕉', '泡腳', '心血管疾病']","['國健署', '心血管疾病', '泡腳', '香蕉皮', '飲用', '香蕉', '保健新聞', '高血壓']"
新北市推低收入戶住宅修繕！最高10萬元補助,https://www.everydayhealth.com.tw//article/18372,"['生活智慧', '補助', '照護']","['照護', '新北', '浴缸', '修繕', '補助', '生活智慧', '城鄉']"
冰上王子羽生結弦連霸冬奧！餐餐必備2樣強肌力塑身型,https://www.everydayhealth.com.tw//article/18368,"['保健新聞', '飲食管理', '飲食', '運動員', '羽生結弦', '控制飲食']","['運動', '肌肉', '控制飲食', '飲食管理', '保健新聞', '羽生結弦', '羽生', '攝取', '蛋白質', '運動員', '飲食']"
感冒增8成塞爆急診，醫：洗手不夠！多2步加強預防,https://www.everydayhealth.com.tw//article/18341,"['保健新聞', '感冒', '流感', '病毒', '洗手', '漱口']","['流感', '洗手', '細菌', '漱口', '病毒', '感冒', '預防', '保健新聞']"
披著羊皮的狼！6種假健康食品更傷身，看你中幾箭？,https://www.everydayhealth.com.tw//article/18254,"['健康飲食', '優格', '蔬果汁', '果乾', '冰淇淋']","['糖分', '優格', '能量棒', '營養師', '冰淇淋', '蔬果汁', '屈克', '果乾', '健康飲食']"
醋的7大神奇功效，這種醋幫助睡眠中修復身體,https://www.everydayhealth.com.tw//article/18124,"['失眠問題', '睡眠', '睡眠策略', '睡眠品質', '醋', '減肥', '健康減肥方法']","['睡眠策略', '睡眠品質', '修復', '健康減肥方法', '失眠問題', '醋', '減肥', '葡萄', '能夠', '睡眠', '功效']"
免吃藥改善失眠困擾！入睡速度提高2.25倍,https://www.everydayhealth.com.tw//article/18143,"['失眠問題', '睡不好', '睡眠障礙', '睡眠品質', '好眠', '失眠']","['睡眠品質', '睡眠障礙', '失眠', '失眠問題', '鬆弛法', '放鬆', '睡不好', '好眠', '入睡', '壓力', '睡眠']"
每天10次這樣抬屁屁就能讓內臟歸位，解決便秘水腫！,https://www.everydayhealth.com.tw//article/18159,"['養生保健', '骨盤體操', '骨盆', '矯正', '內臟', '懶人瘦身']","['內臟', '骨盤體操', '矯正', '脊椎', '歸位', '養生保健', '懶人瘦身', '骨盤', '骨盆']"
博士親測：飲食9大要點，比同齡女性年輕10歲,https://www.everydayhealth.com.tw//article/18211,"['對抗老化', '抗老', '飲食', '美容', '營養', '斷食']","['菲爾德', '戈特', '年輕', '營養', '對抗老化', '抗老', '美容', '斷食', '飲食']"
山楂洛神茶活血化瘀，消除經痛、頭痛、黑眼圈！,https://www.everydayhealth.com.tw//article/18051,"['中醫養生', '氣血', '氣色', '中醫體質調養', '黑眼圈', '經痛/生理痛']","['氣血', '月經', '中醫體質調養', '體內', '氣色', '體質', '經痛', '血瘀', '經痛/生理痛', '中醫養生', '黑眼圈']"
3分鐘氣功顫掌，消除瘀堵氣血、預防三高心臟病！,https://www.everydayhealth.com.tw//article/18242,"['養生保健', '慢性病', '血液循環', '久坐', '氣功', '活動量少']","['運動', '氣功', '活動量少', '血液循環', '微循環', '血管', '慢性病', '循環', '養生保健', '久坐', '氣血']"
改善加齡臭、預防失智！洗澡5個眉角健康又長壽,https://www.everydayhealth.com.tw//article/17562,"['養生保健', '泡澡', '熱水澡', '養生', '抗老', '老人臭']","['泡澡', '老人臭', '養生', '熱水澡', '熱水', '分鐘', '抗老', '養生保健', '預防', '肌膚']"
美研究：每天一杯茶，青光眼風險降74％！,https://www.everydayhealth.com.tw//article/18268,"['健康飲食', '兒茶素', '青光眼', '綠茶', '綠茶/茶類', '眼睛', '眼睛疾病']","['綠茶/茶類', '74', '綠茶', '眼睛疾病', '兒茶素', '風險', '預防', '能夠', '健康飲食', '青光眼', '眼睛']"
吞口水、常梳頭...最長壽皇帝的養生秘訣大公開！,https://www.everydayhealth.com.tw//article/18098,"['中醫養生', '均衡飲食', '按摩', '穴位按摩', '經絡按摩']","['搓熱', '經絡按摩', '方法', '雙手', '養生', '均衡飲食', '認為', '按摩', '中醫養生', '穴位按摩']"
痛風飲食怎麼吃？這樣吃痛風飲食降低尿酸、預防痛風,https://www.everydayhealth.com.tw//article/18138,"['健康飲食', '痛風', '糖尿病', '高血壓/糖尿病飲食', '尿酸', '普林']","['痛風', '普林', '尿酸', '糖尿病', 'kcal', '高血壓/糖尿病飲食', '小匙', '飲食', '尿液', '健康飲食']"
手機充電線不再斷頭、扭曲，只要1支原子筆！,https://www.everydayhealth.com.tw//article/18150,"['生活智慧', '手機', '滑手機', 'DIY']","['電源線', '滑手機', '充電', '手機', '彈簧', '金屬', '生活智慧', 'DIY']"
人生大翻轉！日本長壽研究：70歲後要大吃,https://www.everydayhealth.com.tw//article/18221,"['養生保健', '長壽', '長壽飲食', '抗老', '老年', '飲食管理']","['70', '熱量', '老年', '飲食管理', '長壽', '抗老', '長壽飲食', '養生保健', '飲食', '人瑞']"
年後甩油大作戰！薑汁鳳梨水助你燃脂又暖身,https://www.everydayhealth.com.tw//article/17871,"['健康飲食', '減肥', '鳳梨', '生薑', '羅勒', '酵素']","['薑汁', '生薑', '代謝', '鳳梨', '減肥', '羅勒', '酵素', '健康飲食']"
初四迎財神！2018提高財運的5方法必存,https://www.everydayhealth.com.tw//article/18095,"['其他身心健康', '好運', '改運', '開運', '運氣', '生活']","['造訪', '場所', '生活', '好運', '其他身心健康', '改運', '對於', '財運', '2018', '開運', '運氣']"
2018上半年星座運勢：雙魚座,https://www.everydayhealth.com.tw//article/18047,"['其他身心健康', '好運', '改運', '開運', '運氣', '生活']","['開始', '戀愛', '生活', '好運', '其他身心健康', '喜歡', '改運', '對方', '雙魚座', '開運', '運氣']"
快速撕除貼紙、不留殘膠！只要2張紙巾就能做到,https://www.everydayhealth.com.tw//article/18180,"['生活智慧', '清潔', 'DIY', '醋', '凡士林', '衛生紙']","['殘膠', '貼紙', '凡士林', '價格', '清潔', '醋', '衛生紙', '生活智慧', '黏膠', 'DIY']"
成功率90％！研究：1招讓你不靠鬧鐘、每天睡到自然醒,https://www.everydayhealth.com.tw//article/18199,"['失眠問題', '自然醒', '睡眠不足', '睡眠', '睡不好', '想睡']","['鬧鐘', '起床', '開始', '想睡', '失眠問題', '自然醒', '自然', '池田', '睡眠不足', '睡不好', '睡眠']"
2018上半年星座運勢：水瓶座,https://www.everydayhealth.com.tw//article/18048,"['其他身心健康', '好運', '改運', '開運', '運氣', '生活']","['水瓶座', '開始', '帶來', '戀愛', '生活', '好運', '其他身心健康', '改運', '2018', '開運', '運氣']"
不用去日本！連日醫師都推崇，台灣這裡的溫泉治百病抑發炎,https://www.everydayhealth.com.tw//article/17951,"['養生保健', '泡溫泉', '孕婦', '嬰兒']","['單純', '溫泉', '泡溫泉', '養生保健', '皮膚', '嬰兒', '孕婦']"
指甲看出全身健康！心肺、肝膽脾胃健康該看這隻手指,https://www.everydayhealth.com.tw//article/17906,"['中醫養生', '指甲', '中醫', '手指', '手指按摩', '腸胃保健']","['指甲', '觀察', '顏色', '健康狀況', '手指', '病變', '手指按摩', '中醫', '中醫養生', '腸胃保健']"
2018上半年星座運勢：天蠍座,https://www.everydayhealth.com.tw//article/18083,"['其他身心健康', '好運', '改運', '運氣', '開運', '生活']","['不過', '開始', '戀愛', '生活', '天蠍座', '好運', '其他身心健康', '改運', '運勢', '開運', '運氣']"
專家教你這樣說，讓另一半心甘情願主動做家事！,https://www.everydayhealth.com.tw//article/18194,"['家庭關係', '家事', '夫妻關係', '居家', '生活知識', '心理學']","['主動', '太太', '夫妻關係', '幫忙', '居家', '家事', '心理學', '生活知識', '家庭關係', '垃圾']"
2018上半年星座運勢：天秤座,https://www.everydayhealth.com.tw//article/18082,"['其他身心健康', '好運', '改運', '運氣', '開運', '生活']","['不過', '開始', '戀愛', '生活', '好運', '其他身心健康', '天秤座', '改運', '2018', '開運', '運氣']"
過年零食熱量比一比！熱量炸彈出爐...今年少碰為妙,https://www.everydayhealth.com.tw//article/18243,"['保健新聞', '零食', '熱量', '堅果', '花生', '蒟蒻']","['花生', '熱量', '零食', '堅果', '過年', '100g', '大卡', '蒟蒻', '保健新聞', '零嘴']"
2018上半年星座運勢：獅子座,https://www.everydayhealth.com.tw//article/18066,"['其他身心健康', '好運', '改運', '運氣', '開運', '生活']","['不過', '生活', '獅子座', '好運', '其他身心健康', '改運', '財運', '機會', '2018', '開運', '運氣']"
過年零食提案！這些零食抗癌養生，第1名還防三高,https://www.everydayhealth.com.tw//article/18028,"['健康飲食', '過年', '零食', '黑巧克力', '堅果類', '飲料', '熱量']","['黑巧克力', '熱量', '零食', '綠茶', '過年', '巧克力', '堅果類', '抗癌', '飲料', '健康飲食']"
總覺得老公對孩子不夠用心？研究揭露原因,https://www.everydayhealth.com.tw//article/17444,"['家庭關係', '育兒', '兩性', '大腦']","['男性', '照顧', '兩性', '孩子', '大腦', '育兒', '家庭關係', '養育']"
另類過年症候群！出遊塞車他憋尿憋出血尿,https://www.everydayhealth.com.tw//article/18044,"['健康小撇步', '憋尿', '泌尿道感染', '尿道炎', '膀胱炎', '多喝水', '過年']","['血壓', '憋尿', '過年', '健康小撇步', '膀胱炎', '塞車', '中風', '長時間', '尿道炎', '多喝水', '泌尿道感染']"
打電動也能防失智？研究：這遊戲比學鋼琴更能活腦,https://www.everydayhealth.com.tw//article/18149,"['養生保健', '阿茲海默症', '記憶力', '大腦', '憂鬱症']","['電子遊戲', '遊玩', '記憶力', '大腦', '超級', '憂鬱症', '養生保健', '阿茲海默症', '遊戲', '腦部']"
年菜吃不完，又怕隔夜菜致癌？專家3招有解,https://www.everydayhealth.com.tw//article/18076,"['健康飲食', '致癌', '亞硝酸鹽', '細菌', '年菜']","['細菌', '隔夜', '擔心', '致癌', '亞硝酸鹽', '年菜', '顏宗海', '其實', '健康飲食']"
2018上半年星座運勢：金牛座,https://www.everydayhealth.com.tw//article/18046,"['其他身心健康', '好運', '改運', '開運', '運氣', '生活']","['開始', '戀愛', '生活', '好運', '其他身心健康', '改運', '金牛座', '運勢', '2018', '開運', '運氣']"
腿部沒保暖，感冒機率大增2.57倍！這樣穿保護子宮促循環,https://www.everydayhealth.com.tw//article/17898,"['養生保健', '寒流', '保暖', '心血管疾病', '子宮', '感冒']","['紅色', '色系', '心血管疾病', '子宮', '褲襪', '顏色', '保暖', '寒流', '養生保健', '感冒']"
2018上半年星座運勢：牡羊座運勢大解析,https://www.everydayhealth.com.tw//article/18081,"['其他身心健康', '好運', '改運', '運氣', '開運', '生活']","['牡羊座', '開始', '戀愛', '生活', '好運', '其他身心健康', '改運', '對方', '2018', '開運', '運氣']"
高麗菜、花椰菜最營養部分卻總被丟棄！知道趕快補回來,https://www.everydayhealth.com.tw//article/18165,"['健康飲食', '高麗菜', '花椰菜', '洋蔥', '蘋果', '營養']","['洋蔥', '攝取', '營養', '花椰菜', '高麗菜', '蘋果', '健康飲食']"
肥皂變軟是細菌滋生象徵！五條橡皮筋，肥皂更好用,https://www.everydayhealth.com.tw//article/18182,"['生活智慧', '肥皂', '節省', '香氣']","['海綿', '肥皂盒', '肥皂', '節省', '橡皮筋', '香氣', '軟爛', '生活智慧']"
切小塊、撈浮沫...達人密技吃肉美味更低卡！,https://www.everydayhealth.com.tw//article/18172,"['養生保健', '烤肉', '肉類', '雞肉', '熱量', '料理']","['料理', '熱量', '雞肉', '負擔', '肉類', '養生保健', '烤肉', '蛋白質', '酵素']"
頭痛、暈眩、癌症...致命毒素藏在這！1要點七成都改善,https://www.everydayhealth.com.tw//article/18203,"['保健新聞', '香氣', '空氣品質', '空氣污染', '暈眩', '過敏']","['空氣', '化學物質', '香氣', '氣味', '暈眩', '空氣污染', '導致', '過敏', '保健新聞', '空氣品質', '香氛']"
大掃除一天痠痛好幾天！醫師輕鬆掃、救疼痛有撇步！,https://www.everydayhealth.com.tw//article/18056,"['腰痠背痛', '肩頸痠痛', '下背痛', '肌腱炎', '腰痛']","['肌腱炎', '復健', '重物', '腰痠背痛', '痠痛', '疼痛', '腰痛', '肩頸痠痛', '下背痛', '發炎']"
皮蛋是馬尿泡的？含鉛致癌？食藥署：真相是...,https://www.everydayhealth.com.tw//article/18291,"['保健新聞', '皮蛋', '重金屬', '癌症', '食藥署']","['食藥署', '癌症', '許多', '重金屬', '保健新聞', '民眾', '皮蛋', '殘留']"
自體免疫失調致全身8大病痛！跟著醫師這樣做，過敏少一半,https://www.everydayhealth.com.tw//article/14229,"['西醫醫學', '免疫力', '治療', '細菌', '腸漏症']","['細菌', '自體', '塵土', '治療', '腸漏症', '接觸', '免疫力', '西醫醫學', '過敏', '腸道']"
氣血運行不暢長期便秘、經痛！中醫1湯品解氣滯,https://www.everydayhealth.com.tw//article/18049,"['中醫養生', '氣血不足調養', '血虛', '憂鬱', '胃痛', '穴位按摩']","['鬱悶', '胃痛', '氣滯', '心煩', '憂鬱', '體質', '脹痛', '氣血不足調養', '血虛', '中醫養生', '穴位按摩']"
你喜歡怎麼過年？專屬你的開運小物就在答案中！,https://www.everydayhealth.com.tw//article/17870,"['其他身心健康', '好運', '改運', '運氣', '開運', '過年']","['好運', '其他身心健康', '喜歡', '過年', '什麼樣', '改運', '選擇', '新年', '能夠', '開運', '運氣']"
1分鐘伸展三角肌，放鬆腰、背、肩，還能瘦手臂！,https://www.everydayhealth.com.tw//article/17748,"['養生保健', '伸展操', '血液循環', '放鬆', '肩頸僵硬', '肩胛骨']","['伸展操', '血液循環', '三角肌', '肩頸僵硬', '肩頸', '養生保健', '肩胛骨', '肩膀', '手臂', '放鬆']"
美研究：浴廁放盆栽防過敏，這兩種淨化能力最高,https://www.everydayhealth.com.tw//article/18212,"['淨化空氣', '浴室', '盆栽', '植物', '花', '氣喘', '過敏']","['氣喘', '花', '盆栽', '浴室', '病態', '建築', '汙染', '淨化空氣', '過敏', '植物']"
日本百年肉舖秘傳，不用電5分鐘快速解凍、鎖住肉汁,https://www.everydayhealth.com.tw//article/18163,"['生活智慧', '退冰', '解凍', '魚', '鍋具', '肉類']","['解凍', '鍋具', '肉汁', '時間', '肉類', '魚', '退冰', '生活智慧', '食材', '的話']"
中醫看便秘！蜂蜜益氣生津＋手指操按4穴位可解,https://www.everydayhealth.com.tw//article/17917,"['中醫養生', '便祕', '腸胃健康', '腸胃', '手指', '中醫體質調養', '蜂蜜']","['便祕', '20', '次數', '腸胃', '蜂蜜', '排便', '揉法', '腸胃健康', '手指', '便秘', '中醫養生', '中醫體質調養']"
阿育吠陀簡易療法，芝麻油按摩膝蓋改善關節痛,https://www.everydayhealth.com.tw//article/18032,"['養生保健', '膝蓋痛', '按摩', '溫敷', '阿育吠陀', '油']","['膝蓋痛', '溫敷', '阿育吠陀', '油', '阿育', '養生保健', '乾燥', '吠陀', '按摩', '膝蓋']"
原來冰箱這處才是細菌溫床！譚敦慈、防毒博士教你清冰箱,https://www.everydayhealth.com.tw//article/16748,"['清潔/打掃', '冰箱收納', '食物保存', '整理', '除臭', '大掃除']","['整理', '大掃除', '食物', '食物保存', '冰箱收納', '清潔/打掃', '除臭', '保鮮膜', '保存', '食材', '冰箱']"
糖尿病讓失明率飆25倍！這樣做遠離高血糖5大危害,https://www.everydayhealth.com.tw//article/17957,"['西醫醫學', '糖尿病', '高血壓/糖尿病飲食', '食療', '毛豆', '血管']","['糖尿病', '血管', '高血壓/糖尿病飲食', '發生', '毛豆', '併發症', '病變', '食療', '西醫醫學']"
腳水腫又痛…腎臟病了！轉腳趾、勤按1穴位顧腎排水毒,https://www.everydayhealth.com.tw//article/18012,"['穴道導引', '消水腫', '腳', '腎臟', '降血糖', '消除疲勞']","['消水腫', '湧泉', '腳底', '腳', '降血糖', '腎臟', '機能', '水腫', '穴道導引', '消除疲勞']"
郭董親自命名「鴻參」，人參成鴻海健康版圖生力軍,https://www.everydayhealth.com.tw//article/18257,"['生活便利貼', '人參', '食補', '中醫食療']","['中醫食療', '人參', '威斯康辛', '花旗參', '食補', '美國', '鴻海', '生活便利貼']"
中西醫都推崇！先按這個穴位再按相應穴，療效加倍,https://www.everydayhealth.com.tw//article/11484,"['穴道導引', '呼吸', '按摩', '穴道按摩', '耳朵', '血液循環']","['血液循環', '耳朵', '呼吸', '穴道', '穴道導引', '穴道按摩', '自律', '神門', '按摩', '神經']"
地震逃生這5常識全錯！消防署這6個字最能保命,https://www.everydayhealth.com.tw//article/18224,"['生活智慧', '地震', '防震', '居家']","['避難', '發生', '家具', '居家', '防震', '搖晃', '生活智慧', '地震']"
用保鮮膜做除黴貼布，頑固黴菌1小時全被清光光,https://www.everydayhealth.com.tw//article/18173,"['除黴/除濕', '家事', '除黴', '黴菌', '打掃', '生活妙招']","['貼布', '生活妙招', '打掃', '除黴/除濕', '除黴', '漂白', '家事', '掃除', '黴菌']"
身體也有天然通鼻藥水！按這裡30秒就能立即治鼻塞,https://www.everydayhealth.com.tw//article/11109,"['養生保健', '鼻塞', '呼吸道', '肺炎', '按摩', '睡眠呼吸中止症', '睡眠品質']","['睡眠呼吸中止症', '鼻孔', '肺炎', '睡眠品質', '藥水', '空氣', '養生保健', '鼻腔', '鼻子', '鼻塞', '按摩', '呼吸道']"
半數人天生眼睛易疲勞酸澀！醫：常點眼藥水小心更傷,https://www.everydayhealth.com.tw//article/17996,"['養生保健', '乾眼症', '保護眼睛', '用眼習慣', '眼睛過勞', '眼部肌肉']","['舒緩', '眼睛過勞', '用眼習慣', '朝向', '乾眼症', '疲勞', '養生保健', '瞳孔', '眼部肌肉', '保護眼睛', '眼睛']"
2018狗來富！錢包這3種顏色財運最火！,https://www.everydayhealth.com.tw//article/17794,"['其他身心健康', '過年', '招財', '好運', '生活知識', '運氣']","['行事曆', '招財', '好運', '其他身心健康', '時間', '過年', '一年', '錢包', '生活知識', '時鐘', '運氣']"
干貝、魷魚絲怎麼挑？2步驟選對年貨，安心過好年,https://www.everydayhealth.com.tw//article/18171,"['保健新聞', '過年', '南北乾貨', '加工食品', '食品安全', '食品標示']","['食品標示', '食品', '產品', '食品安全', '過年', '標示', '乾貨', '步驟', '南北乾貨', '保健新聞', '加工食品']"
火鍋料這樣挑，食藥署4招教你安全健康吃火鍋,https://www.everydayhealth.com.tw//article/18170,"['保健新聞', '火鍋', '食品安全', '食品標示', '加工食品', '天氣冷']","['添加物', '魚餃', '食品標示', '食品', '食品安全', '魚肉', '火鍋', '天氣冷', '保健新聞', '加工食品']"
綠拿鐵迷注意：加熱蔬果汁、紫色最抗老,https://www.everydayhealth.com.tw//article/18118,"['養生保健', '蔬果汁', '多色蔬果', '紫色食物', '紅蘿蔔', '番茄']","['紫色', '抗氧化', '紅蘿蔔', '細胞', '番茄', '蔬果', '蔬果汁', '養生保健', '加熱', '紫色食物', '多色蔬果']"
斷開惡夢鎖鏈！預防糖尿病、動脈硬化最佳手段是刷牙,https://www.everydayhealth.com.tw//article/18074,"['養生保健', '牙周病', '糖尿病', '動脈硬化', '刷牙', '牙齒']","['牙周病', '牙齒', '糖尿病', '血管', '養生保健', '刷牙', '牙醫', '動脈', '動脈硬化']"
快學起來！頭痛按虎口，肩頸痠痛抓手臂立刻緩解,https://www.everydayhealth.com.tw//article/17924,"['肩頸痠痛', '肩膀酸痛', '肩頸僵硬', '頭痛', '頭暈', '手指按摩']","['手指按摩', '頭痛', '肩頸僵硬', '肩頸', '肩膀酸痛', '痠痛', '按壓', '頭暈', '肩頸痠痛', '動作']"
別讓僵硬筋膜綑綁血管！讓筋膜柔軟的20種關鍵食物,https://www.everydayhealth.com.tw//article/17987,"['養生保健', '柔軟度', '筋膜', '肌筋膜', '健康飲食', '優質蛋白質', '身體柔軟血管就柔軟']","['筋膜', '柔軟', '肌肉', '細胞', '蛋白質', '柔軟度', '優質蛋白質', '養生保健', '肌筋膜', '身體柔軟血管就柔軟', '健康飲食']"
身體這4處怕冷3倍！博士這樣穿衣大大提升體溫與代謝,https://www.everydayhealth.com.tw//article/17530,"['養生保健', '保暖', '寒流', '發熱', '調節體溫', '免疫力']","['調節體溫', '微血管', '免疫力', '部位', '保暖', '吻合', '寒流', '養生保健', '體溫', '發熱', '動靜脈']"
拉拉手指就能活化內臟祛體寒！手指瑜珈改善末梢循環,https://www.everydayhealth.com.tw//article/17891,"['養生保健', '血液循環', '促進血液循環', '虛寒', '手指按摩', '手指']","['左手', '血液循環', '瑜珈', '中指', '促進血液循環', '養生保健', '手指', '手指按摩', '虛寒']"
養生好食材：紅薑黃加這1樣，更能強身、調整體質,https://www.everydayhealth.com.tw//article/18151,"['健康飲食', '紅薑黃', '黑蔘', '薑黃']","['黑蔘', '紅薑黃', '洋蔘', '高麗蔘', '體質', '薑黃', '人蔘', '健康飲食']"
日本占卜師：大掃除從這裡開始，一舉清理你的煩惱！,https://www.everydayhealth.com.tw//article/17823,"['保健新聞', '好運', '改運', '開運', '運氣', '打掃']","['丟掉', '打掃', '乾淨', '好運', '沒有', '改運', '選擇', '掃除', '保健新聞', '開運', '運氣']"
立春陽氣升！肝火旺傷脾胃，菠菜山藥4食材打造瘦體質,https://www.everydayhealth.com.tw//article/10284,"['節氣養生', '立春', '免疫系統', '護胃', '肝臟排毒']","['立春', '節氣養生', '護胃', '節氣', '山藥', '公克', '資料', '免疫系統', '肝臟排毒']"
50公分以內淨空！達人傳授除濕機高效省電祕技,https://www.everydayhealth.com.tw//article/18152,"['除黴/除濕', '除濕機', '除濕', '電器', '防火安全']","['50', '防火安全', '除濕', '除黴/除濕', '台電', '除濕機', '電器', '淨空']"
誤用強酸洗劑竟蝕骨！譚敦慈公開不傷身大掃除清潔密技,https://www.everydayhealth.com.tw//article/16769,"['清潔/打掃', '清潔', '居家', '大掃除', '清潔劑']","['開始', '譚敦慈', '清潔劑', '大掃除', '清潔', '過年', '居家', '清潔/打掃']"
迎戰大掃除！流理台這樣洗防蟲又消臭、異味奇蹟消失了,https://www.everydayhealth.com.tw//article/18010,"['清潔/打掃', '大掃除', '除臭', '霉味', '蘇打粉', '廚房清潔', '消滅蟑螂']","['流理', '霉味', '大掃除', '廚房清潔', '流理台', '韓國', '清潔/打掃', '除臭', '消滅蟑螂', '蘇打粉']"
風寒、體虛...4種感冒喝對應的4款茶才好得快！,https://www.everydayhealth.com.tw//article/18052,"['中醫養生', '感冒', '中醫體質調養', '發燒', '虛寒', '血虛']","['風寒', '針對', '茶療', '中醫體質調養', '體質', '感冒', '血虛', '發燒', '中醫養生', '虛寒']"
急凍！日博士：家家都有這張紙，鋪鞋底足部升溫8°C,https://www.everydayhealth.com.tw//article/18113,"['養生保健', '體溫', '調節體溫', '足部保養', '暖身']","['足部保養', '調節體溫', '簡單', '鋁箔紙', '養生保健', '體溫', '能夠', '拖鞋', '暖身']"
注意4太不要買！俠醫林杰樑10招採買年貨必看撇步,https://www.everydayhealth.com.tw//article/11341,"['生活智慧', '亞硝酸鹽', '堅果', '林杰樑', '花生', '蝦', '譚敦慈', '過年', '金針花', '香菇']","['林杰樑', '花生', '蝦', '譚敦慈', '年貨', '採買', '10', '堅果', '過年', '亞硝酸鹽', '金針花', '長庚', '生活智慧', '實驗室', '香菇']"
防失智！一周吃3次，大腦年輕30歲！,https://www.everydayhealth.com.tw//article/17826,"['對抗老化', '失智', '阿茲海默症', '咖哩', '薑黃', '抗氧化']","['抗氧化', '咖哩', '失智症', '對抗老化', '薑黃', '阿茲海默症', '失智', '預防']"
